NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,64.0,Entergy Corporation,Utilities,entergy,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,66.0,Adobe Inc,Software,adobe,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,68.0,AES Corp,Utilities,aes,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,70.0,Hasbro Inc,Household & Leisure Goods,hasbro,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,72.0,Otis Worldwide Corporation,Commercial Vehicles & Machinery,otis worldwide,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,73.0,Ciena Corporation,Technology Hardware,ciena,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,75.0,Apple Inc,Technology Hardware,apple,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,78.0,Humana Inc,Health Care Providers,humana,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,82.0,Cummins Inc,Commercial Vehicles & Machinery,cummins,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,83.0,Ball Corp,Industrial Goods,ball,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,85.0,RTX Corp,Aerospace & Defense,rtx,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,86.0,The Allstate Corporation,Insurance,the allstate,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,89.0,Constellation Energy Corporation,Utilities,constellation energy,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,90.0,Workday Inc,Software,workday,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,94.0,Colgate-Palmolive Company,Personal Products,colgatepalmolive,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,95.0,Capital One Financial Corporation,Transaction Processing,capital one financial,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,97.0,Starbucks Corporation,Restaurants & Leisure,starbucks,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,100.0,NIKE Inc,Clothing & Accessories,nike,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,2.0,HP Inc,Technology Hardware,hp,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,3.0,Bank of America Corporation,Banks,bank of america,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,12.0,Dow Inc,Chemicals,dow,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,15.0,The Hershey Company,"Food, Beverage & Tobacco",the hershey,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,21.0,M&T Bank Corp,Banks,mt bank,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,22.0,Nasdaq Inc,Capital Markets,nasdaq,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,26.0,Ecolab Inc,Chemicals,ecolab,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,27.0,S&P Global Inc,Commercial Support Services,sp global,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,28.0,Organon & Co,Pharmaceuticals & Biotech,organon,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,36.0,Intel Corp,Semiconductors & Equipment,intel,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,38.0,Duke Energy Corporation,Utilities,duke energy,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,41.0,Merck & Co Inc,Pharmaceuticals & Biotech,merck co,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,43.0,NVIDIA Corp,Semiconductors & Equipment,nvidia,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,46.0,Visa Inc,Transaction Processing,visa,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,47.0,Truist Financial Corporation,Banks,truist financial,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,51.0,Equinix Inc,Real Estate,equinix,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,52.0,Lear Corporation,Automobiles & Parts,lear,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,58.0,PG&E Corporation,Utilities,pge,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,63.0,PPL Corp,Utilities,ppl,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,64.0,Entergy Corporation,Utilities,entergy,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,66.0,Adobe Inc,Software,adobe,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,68.0,AES Corp,Utilities,aes,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,70.0,Hasbro Inc,Household & Leisure Goods,hasbro,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,72.0,Otis Worldwide Corporation,Commercial Vehicles & Machinery,otis worldwide,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,73.0,Ciena Corporation,Technology Hardware,ciena,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,75.0,Apple Inc,Technology Hardware,apple,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,78.0,Humana Inc,Health Care Providers,humana,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,82.0,Cummins Inc,Commercial Vehicles & Machinery,cummins,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,83.0,Ball Corp,Industrial Goods,ball,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,85.0,RTX Corp,Aerospace & Defense,rtx,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,86.0,The Allstate Corporation,Insurance,the allstate,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,89.0,Constellation Energy Corporation,Utilities,constellation energy,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,90.0,Workday Inc,Software,workday,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,94.0,Colgate-Palmolive Company,Personal Products,colgatepalmolive,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,95.0,Capital One Financial Corporation,Transaction Processing,capital one financial,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,97.0,Starbucks Corporation,Restaurants & Leisure,starbucks,,
486,APA Corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,apa,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,100.0,NIKE Inc,Clothing & Accessories,nike,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,2.0,HP Inc,Technology Hardware,hp,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,3.0,Bank of America Corporation,Banks,bank of america,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,12.0,Dow Inc,Chemicals,dow,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,15.0,The Hershey Company,"Food, Beverage & Tobacco",the hershey,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,21.0,M&T Bank Corp,Banks,mt bank,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,22.0,Nasdaq Inc,Capital Markets,nasdaq,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,26.0,Ecolab Inc,Chemicals,ecolab,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,27.0,S&P Global Inc,Commercial Support Services,sp global,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,28.0,Organon & Co,Pharmaceuticals & Biotech,organon,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,36.0,Intel Corp,Semiconductors & Equipment,intel,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,38.0,Duke Energy Corporation,Utilities,duke energy,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,41.0,Merck & Co Inc,Pharmaceuticals & Biotech,merck co,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,43.0,NVIDIA Corp,Semiconductors & Equipment,nvidia,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,46.0,Visa Inc,Transaction Processing,visa,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,47.0,Truist Financial Corporation,Banks,truist financial,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,51.0,Equinix Inc,Real Estate,equinix,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,52.0,Lear Corporation,Automobiles & Parts,lear,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,58.0,PG&E Corporation,Utilities,pge,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,63.0,PPL Corp,Utilities,ppl,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,64.0,Entergy Corporation,Utilities,entergy,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,66.0,Adobe Inc,Software,adobe,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,68.0,AES Corp,Utilities,aes,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,70.0,Hasbro Inc,Household & Leisure Goods,hasbro,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,72.0,Otis Worldwide Corporation,Commercial Vehicles & Machinery,otis worldwide,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,73.0,Ciena Corporation,Technology Hardware,ciena,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,75.0,Apple Inc,Technology Hardware,apple,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,78.0,Humana Inc,Health Care Providers,humana,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,82.0,Cummins Inc,Commercial Vehicles & Machinery,cummins,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,83.0,Ball Corp,Industrial Goods,ball,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,85.0,RTX Corp,Aerospace & Defense,rtx,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,86.0,The Allstate Corporation,Insurance,the allstate,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,89.0,Constellation Energy Corporation,Utilities,constellation energy,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,90.0,Workday Inc,Software,workday,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,94.0,Colgate-Palmolive Company,Personal Products,colgatepalmolive,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,95.0,Capital One Financial Corporation,Transaction Processing,capital one financial,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,97.0,Starbucks Corporation,Restaurants & Leisure,starbucks,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,100.0,NIKE Inc,Clothing & Accessories,nike,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,2.0,HP Inc,Technology Hardware,hp,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,3.0,Bank of America Corporation,Banks,bank of america,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,12.0,Dow Inc,Chemicals,dow,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,15.0,The Hershey Company,"Food, Beverage & Tobacco",the hershey,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,21.0,M&T Bank Corp,Banks,mt bank,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,22.0,Nasdaq Inc,Capital Markets,nasdaq,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,26.0,Ecolab Inc,Chemicals,ecolab,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,27.0,S&P Global Inc,Commercial Support Services,sp global,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,28.0,Organon & Co,Pharmaceuticals & Biotech,organon,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,36.0,Intel Corp,Semiconductors & Equipment,intel,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,38.0,Duke Energy Corporation,Utilities,duke energy,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,41.0,Merck & Co Inc,Pharmaceuticals & Biotech,merck co,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,43.0,NVIDIA Corp,Semiconductors & Equipment,nvidia,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,46.0,Visa Inc,Transaction Processing,visa,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,47.0,Truist Financial Corporation,Banks,truist financial,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,51.0,Equinix Inc,Real Estate,equinix,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,52.0,Lear Corporation,Automobiles & Parts,lear,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,58.0,PG&E Corporation,Utilities,pge,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,63.0,PPL Corp,Utilities,ppl,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,64.0,Entergy Corporation,Utilities,entergy,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,66.0,Adobe Inc,Software,adobe,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,68.0,AES Corp,Utilities,aes,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,70.0,Hasbro Inc,Household & Leisure Goods,hasbro,,
554,News Corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,news,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,72.0,Otis Worldwide Corporation,Commercial Vehicles & Machinery,otis worldwide,,
